Selecionado;Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;;;
;A review of citation recommendation: from textual content to enriched context;Scientometrics;;122;3;10.1007/s11192-019-03336-0;Shutian MaChengzhi ZhangXiaozhong Liu;2020;http://link.springer.com/article/10.1007/s11192-019-03336-0;Article;;;;;;
;Proceedings of the World Molecular Imaging Congress 2021; October 5-8; 2021: Late-Breaking Abstracts;Molecular Imaging and Biology;;23;2;10.1007/s11307-021-01694-x;;2021;http://link.springer.com/article/10.1007/s11307-021-01694-x;Article;;;;
;RETRACTED ARTICLE: Medical image analysis of phosphorylated protein interaction extraction algorithm based on text mining technology;Multimedia Tools and Applications;;79;15 - 16;10.1007/s11042-019-07853-1;Xiaolei MaYang LuYinan LuZhili Pei;2020;http://link.springer.com/article/10.1007/s11042-019-07853-1;Article;;;;;;
;Evolutionary taxonomy construction from dynamic tag space;World Wide Web;;15;05/jun;10.1007/s11280-011-0150-4;Junjie YaoBin CuiGao CongYuxin Huang;2012;http://link.springer.com/article/10.1007/s11280-011-0150-4;Article;;;;;;
;13th EBSA congress; July 24–28;2021; Vienna; Austria;European Biophysics Journal;;50;1;10.1007/s00249-021-01558-w;;2021;http://link.springer.com/article/10.1007/s00249-021-01558-w;Article;;
;A conceptual model for unifying variability in space and time: Rationale; validation; and illustrative applications;Empirical Software Engineering;;27;5;10.1007/s10664-021-10097-z;Sofia AnanievaSandra GreinerTimo KehrerJacob KrügerThomas KühnLukas LinsbauerSten GrünerAnne KoziolekHenrik LönnS. RameshRalf Reussner;2022;http://link.springer.com/article/10.1007/s10664-021-10097-z;Article;;;;
;Abstracts of the 85th Annual Meeting of the German Society for Experimental and Clinical Pharmacology and Toxicology (DGPT) and the 21th Annual Meeting of the Association of the Clinical Pharmacology Germany (VKliPha) With contribution of the Arbeitsgemeinschaft für Angewandte Humanpharmakologie e. V. (AGAH);Naunyn-Schmiedeberg's Archives of Pharmacology;;392;1;10.1007/s00210-019-01621-6;;2019;http://link.springer.com/article/10.1007/s00210-019-01621-6;Article;;;;;;
;Adaptive; intelligent presentation of information for the museum visitor in PEACH;User Modeling and User-Adapted Interaction;;17;3;10.1007/s11257-007-9029-6;Oliviero StockMassimo ZancanaroPaolo BusettaCharles CallawayAntonio KrügerMichael KruppaTsvi KuflikElena NotCesare Rocchi;2007;http://link.springer.com/article/10.1007/s11257-007-9029-6;Article;;;;;
;Exploratory search framework for Web data sources;The VLDB Journal;;22;5;10.1007/s00778-013-0326-x;Alessandro BozzonMarco BrambillaStefano CeriDavide Mazza;2013;http://link.springer.com/article/10.1007/s00778-013-0326-x;Article;;;;;;
;Applying MAPE-K control loops for adaptive workflow management in smart factories;Journal of Intelligent Information Systems;;;;10.1007/s10844-022-00766-w;Lukas MalburgMaximilian HoffmannRalph Bergmann;2023;http://link.springer.com/article/10.1007/s10844-022-00766-w;Article;;;;;;
;Challenges in the construction of knowledge bases for human microbiome-disease associations;Microbiome;;7;1;10.1186/s40168-019-0742-2;Varsha Dave BadalDustin WrightYannis KatsisHo-Cheol KimAustin D. SwaffordRob KnightChun-Nan Hsu;2019;http://link.springer.com/article/10.1186/s40168-019-0742-2;Article;;;;;;
;Measuring the similarity of building patterns using Graph Fourier transform;Earth Science Informatics;;14;4;10.1007/s12145-021-00659-6;Zhanlong ChenXiaochuan MaWenhao YuLiang WuZhong Xie;2021;http://link.springer.com/article/10.1007/s12145-021-00659-6;Article;;;;;;
;Meeting report from the fourth meeting of the Computational Modeling in Biology Network (COMBINE);Standards in Genomic Sciences;;9;3;10.4056/sigs.5279417;Dagmar WaltemathFrank T. BergmannClaudine ChaouiyaTobias CzaudernaPadraig GleesonCarole GobleMartin GolebiewskiMichael HuckaNick JutyOlga KrebsNicolas Le NovèreHuaiyu MiIon I. MoraruChris J. MyersDavid NickersonBrett G. Olivier;2014;http://link.springer.com/article/10.4056/sigs.5279417;Article;;;;;;
;Understanding videos with face recognition: a complete pipeline and applications;Multimedia Systems;;28;6;10.1007/s00530-022-00959-x;Pasquale LisenaJorma LaaksonenRaphaël Troncy;2022;http://link.springer.com/article/10.1007/s00530-022-00959-x;Article;;;;;;
;Hierarchical learning with backtracking algorithm based on the Visual Confusion Label Tree for large-scale image classification;The Visual Computer;;38;3;10.1007/s00371-021-02058-w;Yuntao LiuYong DouRuochun JinRongchun LiPeng Qiao;2022;http://link.springer.com/article/10.1007/s00371-021-02058-w;Article;;;;;;
;Mental Health Analysis in Social Media Posts: A Survey;Archives of Computational Methods in Engineering;;30;3;10.1007/s11831-022-09863-z;Muskan Garg;2023;http://link.springer.com/article/10.1007/s11831-022-09863-z;Article;;;;;;
;Designing Academic Writing Analytics for Civil Law Student Self-Assessment;International Journal of Artificial Intelligence in Education;;28;1;10.1007/s40593-016-0121-0;Simon KnightSimon Buckingham ShumPhilippa RyanÁgnes SándorXiaolong Wang;2018;http://link.springer.com/article/10.1007/s40593-016-0121-0;Article;;;;;;
;Rewiring of the inferred protein interactome during blood development studied with the tool PPICompare;BMC Systems Biology;;11;1;10.1186/s12918-017-0400-x;Thorsten WillVolkhard Helms;2017;http://link.springer.com/article/10.1186/s12918-017-0400-x;Article;;;;;;
;Detection of dangerous events on social media: a critical review;Social Network Analysis and Mining;;12;1;10.1007/s13278-022-00980-y;M. Luqman JamilSebastião PaisJoão Cordeiro;2022;http://link.springer.com/article/10.1007/s13278-022-00980-y;Article;;;;;;
;Real World User Model: Evolution of User Modeling Triggered by Advances in Wearable and Ubiquitous Computing;Information Systems Frontiers;;21;5;10.1007/s10796-017-9818-3;Federica CenaSilvia LikavecAmon Rapp;2019;http://link.springer.com/article/10.1007/s10796-017-9818-3;Article;;;;;;
;Mapping data elements to terminological resources for integrating biomedical data sources;BMC Bioinformatics;;7;3;10.1186/1471-2105-7-S3-S6;Fleur MouginAnita BurgunOlivier Bodenreider;2006;http://link.springer.com/article/10.1186/1471-2105-7-S3-S6;Article;;;;;;
;Bridging the gap: effect of text query reformulation in multimodal retrieval;Multimedia Tools and Applications;;76;21;10.1007/s11042-016-4262-9;Deepanwita DattaSanjay K. SinghC. Ravindranath Chowdary;2017;http://link.springer.com/article/10.1007/s11042-016-4262-9;Article;;;;;;
;Multiple viewpoint modelling framework enabling integrated product–process design;International Journal on Interactive Design and Manufacturing (IJIDeM);;4;4;10.1007/s12008-010-0107-3;Frédéric DemolyDavy MonticoloBenoît EynardLouis RivestSamuel Gomes;2010;http://link.springer.com/article/10.1007/s12008-010-0107-3;Article;;;;;;
;Survey statistics of automated segmentations applied to optical imaging of mammalian cells;BMC Bioinformatics;;16;1;10.1186/s12859-015-0762-2;Peter BajcsyAntonio CardoneJoe ChalfounMichael HalterDerek JubaMarcin KociolekMichael MajurskiAdele PeskinCarl SimonMylene SimonAntoine VandecremeMary Brady;2015;http://link.springer.com/article/10.1186/s12859-015-0762-2;Article;;;;;;
;Intelligent techniques in e-learning: a literature review;Artificial Intelligence Review;;;;10.1007/s10462-023-10508-1;Miloš IlićVladimir MikićLazar KopanjaBoban Vesin;2023;http://link.springer.com/article/10.1007/s10462-023-10508-1;Article;;;;;;
;Scalability and sparsity issues in recommender datasets: a survey;Knowledge and Information Systems;;62;1;10.1007/s10115-018-1254-2;Monika Singh;2020;http://link.springer.com/article/10.1007/s10115-018-1254-2;Article;;;;;;
;Integration of decision support systems to improve decision support performance;Knowledge and Information Systems;;22;3;10.1007/s10115-009-0192-4;Shaofeng LiuAlex H. B. DuffyRobert Ian WhitfieldIain M. Boyle;2010;http://link.springer.com/article/10.1007/s10115-009-0192-4;Article;;;;;;
;About Representation and Evaluation of the  Scientific Data; Numerical and Non-Numerical Nature in the Properties of Materials Research;Automatic Documentation and Mathematical Linguistics;;57;1;10.3103/S0005105523010077;A. O. ErkimbaevV. Yu. ZitsermanG. A. KobzevA. V. Kosinov;2023;http://link.springer.com/article/10.3103/S0005105523010077;Article;;;;;
;GoMiner: a resource for biological interpretation of genomic and proteomic data;Genome Biology;;4;4;10.1186/gb-2003-4-4-r28;Barry R ZeebergWeimin FengGeoffrey WangMay D WangAnthony T FojoMargot SunshineSudarshan NarasimhanDavid W KaneWilliam C ReinholdSamir LababidiKimberly J BusseyJoseph RissJ Carl BarrettJohn N Weinstein;2003;http://link.springer.com/article/10.1186/gb-2003-4-4-r28;Article;;;;;;
;Shotgun proteomics of peach fruit reveals major metabolic pathways associated to ripening;BMC Genomics;;22;1;10.1186/s12864-020-07299-y;Ricardo Nilo-PoyancoCarol MoragaGianfranco BenedettoAriel OrellanaAndrea Miyasaka Almeida;2021;http://link.springer.com/article/10.1186/s12864-020-07299-y;Article;;;;;;
;Proceedings of the Joint Meeting of the 126th Annual Meeting of The Japanese Association of Anatomists and the 98th Annual Meeting of The Physiological Society of Japan;The Journal of Physiological Sciences;;71;1;10.1186/s12576-021-00809-x;;2021;http://link.springer.com/article/10.1186/s12576-021-00809-x;Article;;;;;;
;10th Anniversary of the European Association for Predictive; Preventive and Personalised (3P) Medicine - EPMA World Congress Supplement 2020;EPMA Journal;;11;1;10.1007/s13167-020-00206-1;Olga GolubnitschajaOndrej TopolcanRadek KuceraVincenzo Costigliola;2020;http://link.springer.com/article/10.1007/s13167-020-00206-1;Article;;;;;
;Collaboration Across Professional Boundaries – The Emergence of Interpretation Drift and the Collective Creation of Project Jargon;Computer Supported Cooperative Work (CSCW);;24;4;10.1007/s10606-015-9229-2;Mika Yasuoka;2015;http://link.springer.com/article/10.1007/s10606-015-9229-2;Article;;;;;;
;DORIC: discovering topological relations based on spatial link composition;Knowledge and Information Systems;;63;10;10.1007/s10115-021-01603-2;Xiongnan JinSungkwang EomSangjin ShinKyong-Ho LeeChaoqun Hong;2021;http://link.springer.com/article/10.1007/s10115-021-01603-2;Article;;;;;;
;An Interactive Floor Plan Image Retrieval Framework Based on Structural Features;Arabian Journal for Science and Engineering;;;;10.1007/s13369-023-07672-5;Rasika KhadeKrupa JariwalaChiranjoy Chattopadhyay;2023;http://link.springer.com/article/10.1007/s13369-023-07672-5;Article;;;;;;
;XML document clustering: techniques and challenges;Artificial Intelligence Review;;43;3;10.1007/s10462-012-9379-2;Elaheh AsghariMohammadReza KeyvanPour;2015;http://link.springer.com/article/10.1007/s10462-012-9379-2;Article;;;;;;
;A study into the practice of reporting software engineering experiments;Empirical Software Engineering;;26;6;10.1007/s10664-021-10007-3;Kate RevoredoDjordje DjuricaJan Mendling;2021;http://link.springer.com/article/10.1007/s10664-021-10007-3;Article;;;;;;
;A video-based framework for the analysis of presentations/posters;International Journal of Document Analysis and Recognition (IJDAR);;7;02/mar;10.1007/s10032-004-0137-0;A. ZandifarR. DuraiswamiL. S. Davis;2005;http://link.springer.com/article/10.1007/s10032-004-0137-0;Article;;;;;;
;An instrumental perspective on CSCL systems;International Journal of Computer-Supported Collaborative Learning;;7;2;10.1007/s11412-012-9141-4;Jacques Lonchamp;2012;http://link.springer.com/article/10.1007/s11412-012-9141-4;Article;;;;;;
;Gene2vec: distributed representation of genes based on co-expression;BMC Genomics;;20;1;10.1186/s12864-018-5370-x;Jingcheng DuPeilin JiaYulin DaiCui TaoZhongming ZhaoDegui Zhi;2019;http://link.springer.com/article/10.1186/s12864-018-5370-x;Article;;;;;;
;A hierarchical framework for logical composition of web services;Service Oriented Computing and Applications;;3;4;10.1007/s11761-009-0052-9;Haibo ZhaoPrashant Doshi;2009;http://link.springer.com/article/10.1007/s11761-009-0052-9;Article;;;;;;
;State of research on natural language processing in Mexico — a bibliometric study;Journal of Data, Information and Management;;3;3;10.1007/s42488-021-00051-5;Roberto E. Lopez-MartinezGerardo Sierra;2021;http://link.springer.com/article/10.1007/s42488-021-00051-5;Article;;;;;;
;Identification of potential targets of cinnamon for treatment against Alzheimer’s disease-related GABAergic synaptic dysfunction using network pharmacology;Scientific Reports;;12;1;10.1038/s41598-022-24378-0;Dongdong QianQixue WangSiyuan LinYing LiXinyi GuChenyi XiaYing XuTing ZhangLi YangQianfu WuJijia SunYi LiuMingmei Zhou;2022;http://link.springer.com/article/10.1038/s41598-022-24378-0;Article;;;;;;
;Computational analysis and mapping of ijCSCL content;International Journal of Computer-Supported Collaborative Learning;;7;4;10.1007/s11412-012-9154-z;Jacques Lonchamp;2012;http://link.springer.com/article/10.1007/s11412-012-9154-z;Article;;;;;;
;Select Resources for Image-based Humanities Computing;Computers and the Humanities;;36;1;10.1023/A:1013119414973;Bethany Nowviskie;2002;http://link.springer.com/article/10.1023/A%3A1013119414973;Article;;;;;;
;Empirical comparison of text-based mobile apps similarity measurement techniques;Empirical Software Engineering;;24;6;10.1007/s10664-019-09726-5;Afnan Al-SubaihinFederica SarroSue BlackLicia Capra;2019;http://link.springer.com/article/10.1007/s10664-019-09726-5;Article;;;;;;
;Can search result summaries enhance the web search efficiency and experiences of the visually impaired users?;Universal Access in the Information Society;;21;1;10.1007/s10209-020-00777-w;Aboubakr AqleDena Al-ThaniAli Jaoua;2022;http://link.springer.com/article/10.1007/s10209-020-00777-w;Article;;;;;;
;An expressive framework and efficient algorithms for the analysis of collaborative tagging;The VLDB Journal;;23;2;10.1007/s00778-013-0341-y;Mahashweta DasSaravanan ThirumuruganathanSihem Amer-YahiaGautam DasCong Yu;2014;http://link.springer.com/article/10.1007/s00778-013-0341-y;Article;;;;;;
;Logic programming for deliberative robotic task planning;Artificial Intelligence Review;;56;9;10.1007/s10462-022-10389-w;Daniele MeliHirenkumar NakawalaPaolo Fiorini;2023;http://link.springer.com/article/10.1007/s10462-022-10389-w;Article;;;;;;
;AI-based applications in hybrid imaging: how to build smart and truly multi-parametric decision models for radiomics;European Journal of Nuclear Medicine and Molecular Imaging;;46;13;10.1007/s00259-019-04414-4;Isabella CastiglioniFrancesca GallivanonePaolo SodaMichele AvanzoJoseph StancanelloMarco AielloMatteo InterlenghiMarco Salvatore;2019;http://link.springer.com/article/10.1007/s00259-019-04414-4;Article;;;;;;
;Analysing the Characteristics of Open Government Data Sources in Greece;Journal of the Knowledge Economy;;9;3;10.1007/s13132-015-0298-8;Charalampos AlexopoulosEuripidis LoukisSpiros MouzakitisMichalis PetychakisYannis Charalabidis;2018;http://link.springer.com/article/10.1007/s13132-015-0298-8;Article;;;;;;
;Conference on Advances in Pharmacovigilance for Herbal Medicines 12th–14th April 2023;Drug Safety;;46;4;10.1007/s40264-023-01289-1;;2023;http://link.springer.com/article/10.1007/s40264-023-01289-1;Article;;;;;;
;AI-Empowered Process Mining for Complex Application Scenarios: Survey and Discussion;Journal on Data Semantics;;10;01/fev;10.1007/s13740-021-00121-2;Francesco FolinoLuigi Pontieri;2021;http://link.springer.com/article/10.1007/s13740-021-00121-2;Article;;;;;;
;Designing a source-level debugger for cognitive agent programs;Autonomous Agents and Multi-Agent Systems;;31;5;10.1007/s10458-016-9346-4;Vincent J. KoemanKoen V. HindriksCatholijn M. Jonker;2017;http://link.springer.com/article/10.1007/s10458-016-9346-4;Article;;;;;;
;Improving access to clinical practice guidelines with an interactive graphical interface using an iconic language;BMC Medical Informatics and Decision Making;;14;1;10.1186/1472-6947-14-77;Suzanne PereiraSylvain HasslerSaliha HamekCésar BoogNicolas LeroyMarie-Catherine Beuscart-ZéphirMadeleine FavreAlain VenotCatherine DuclosJean-Baptiste Lamy;2014;http://link.springer.com/article/10.1186/1472-6947-14-77;Article;;;;;;
;Performance Driven WS Orchestration and Deployment in Service Oriented Infrastructure;Journal of Grid Computing;;12;2;10.1007/s10723-014-9293-8;Salvatore DistefanoGiuseppe Serazzi;2014;http://link.springer.com/article/10.1007/s10723-014-9293-8;Article;;;;;;
;Inhibition of the Dead Box RNA Helicase 3 Prevents HIV-1 Tat and Cocaine-Induced Neurotoxicity by Targeting Microglia Activation;Journal of Neuroimmune Pharmacology;;15;2;10.1007/s11481-019-09885-8;Marina AksenovaJustin SybrandtBiyun CuiVitali SikirzhytskiHao JiDiana OdhiamboMatthew D. LuciusJill R. TurnerEugenia BroudeEdsel PeñaSofia LizarragaJun ZhuIlya SafroMichael D. WyattMichael Shtutman;2020;http://link.springer.com/article/10.1007/s11481-019-09885-8;Article;;;;;;
;A survey on sentiment analysis methods; applications; and challenges;Artificial Intelligence Review;;55;7;10.1007/s10462-022-10144-1;Mayur WankhadeAnnavarapu Chandra Sekhara RaoChaitanya Kulkarni;2022;http://link.springer.com/article/10.1007/s10462-022-10144-1;Article;;;;
;Towards a unifying; systems biology understanding of large-scale cellular death and destruction caused by poorly liganded iron: Parkinson’s; Huntington’s; Alzheimer’s; prions; bactericides; chemical toxicology and others as examples;Archives of Toxicology;;84;11;10.1007/s00204-010-0577-x;Douglas B. Kell;2010;http://link.springer.com/article/10.1007/s00204-010-0577-x;Article
;CAPTION: Caption Analysis with Proposed Terms; Image of Objects; and Natural Language Processing;SN Computer Science;;3;5;10.1007/s42979-022-01322-7;Leonardo A. FerreiraDouglas De Rizzo MeneghettiMarcos LopesPaulo E. Santos;2022;http://link.springer.com/article/10.1007/s42979-022-01322-7;Article;;;;
;Review of State-of-the-Art Design Techniques for Chatbots;SN Computer Science;;1;5;10.1007/s42979-020-00255-3;Ritu AgarwalMani Wadhwa;2020;http://link.springer.com/article/10.1007/s42979-020-00255-3;Article;;;;;;
;The use of accessibility metadata in e-learning environments: a systematic literature review;Universal Access in the Information Society;;22;2;10.1007/s10209-021-00851-x;Paola Ingavélez-GuerraSalvador Otón-TortosaJosé Hilera-GonzálezMary Sánchez-Gordón;2023;http://link.springer.com/article/10.1007/s10209-021-00851-x;Article;;;;;;
;The measurement of software design quality;Annals of Software Engineering;;4;1;10.1023/A:1018914711050;James Kenneth BlundellMary Lou HinesJerrold Stach;1997;http://link.springer.com/article/10.1023/A%3A1018914711050;Article;;;;;;
;Hierarchical classification of data streams: a systematic literature review;Artificial Intelligence Review;;55;4;10.1007/s10462-021-10087-z;Eduardo TieppoRoger Robson dos SantosJean Paul BarddalJúlio Cesar Nievola;2022;http://link.springer.com/article/10.1007/s10462-021-10087-z;Article;;;;;;
;Proteomic and metabolomic characterization of streptozotocin-induced diabetic nephropathy in TIMP3-deficient mice;Acta Diabetologica;;55;2;10.1007/s00592-017-1074-y;Claudia RossiValeria MarzanoAda ConsalvoMirco ZucchelliStefano Levi MorteraViviana CasagrandeMaria MavilioPaolo SacchettaMassimo FedericiRossella MenghiniAndrea UrbaniDomenico Ciavardelli;2018;http://link.springer.com/article/10.1007/s00592-017-1074-y;Article;;;;;;
;Selected Abstracts Presented at the 21st Meeting of The European Society;;;;;;;;;;;;;;;
;Exploration of sentiment analysis and legitimate artistry for opinion mining;Multimedia Tools and Applications;;81;9;10.1007/s11042-020-10480-w;R. Satheesh KumarA. Francis Saviour DevarajM. RajeswariE. Golden JulieY. Harold RobinsonVimal Shanmuganathan;2022;http://link.springer.com/article/10.1007/s11042-020-10480-w;Article;;;;;;
;Automatic zone identification in scientific papers via fusion techniques;Scientometrics;;119;2;10.1007/s11192-019-03060-9;Nasrin AsadiKambiz BadieMaryam Tayefeh Mahmoudi;2019;http://link.springer.com/article/10.1007/s11192-019-03060-9;Article;;;;;;
;Where does model-driven engineering help? Experiences from three industrial cases;Software & Systems Modeling;;12;3;10.1007/s10270-011-0219-7;Parastoo MohagheghiWasif GilaniAlin StefanescuMiguel A. FernandezBjørn NordmoenMathias Fritzsche;2013;http://link.springer.com/article/10.1007/s10270-011-0219-7;Article;;;;;;
;Virtual learning communities (VLCs) rethinking: influence on behavior modification—bullying detection through machine learning and natural language processing;Journal of Computers in Education;;7;4;10.1007/s40692-020-00166-5;Stefanos NikiforosSpyros TzanavarisKatia-Lida Kermanidis;2020;http://link.springer.com/article/10.1007/s40692-020-00166-5;Article;;;;;;
;Interactive machine learning for health informatics: when do we need the human-in-the-loop?;Brain Informatics;;3;2;10.1007/s40708-016-0042-6;Andreas Holzinger;2016;http://link.springer.com/article/10.1007/s40708-016-0042-6;Article;;;;;;
;Image-based styling;The Visual Computer;;32;4;10.1007/s00371-015-1073-3;Dieter Hildebrandt;2016;http://link.springer.com/article/10.1007/s00371-015-1073-3;Article;;;;;;
;A GRL-compliant iStar extension for collaborative cyber-physical systems;Requirements Engineering;;26;3;10.1007/s00766-021-00347-3;Marian DaunJennifer BringsLisa KrajinskiViktoria StenkovaTorsten Bandyszak;2021;http://link.springer.com/article/10.1007/s00766-021-00347-3;Article;;;;;;
;Accessibility of audio and tactile interfaces for young blind people performing everyday tasks;Universal Access in the Information Society;;9;4;10.1007/s10209-009-0183-y;Yayoi ShimomuraEbba Thora HvannbergHjalmtyr Hafsteinsson;2010;http://link.springer.com/article/10.1007/s10209-009-0183-y;Article;;;;;;
;What is this article about? Generative summarization with the BERT model in the geosciences domain;Earth Science Informatics;;15;1;10.1007/s12145-021-00695-2;Kai MaMiao TianYongjian TanXuejing XieQinjun Qiu;2022;http://link.springer.com/article/10.1007/s12145-021-00695-2;Article;;;;;;
;Cyber-Physical Systems in the Context of Industry 4.0: A Review; Categorization and Outlook;Information Systems Frontiers;;;;10.1007/s10796-022-10252-x;Sascha Julian OksMax JalowskiMichael LechnerStefan MirschbergerMarion MerkleinBirgit Vogel-HeuserKathrin M. Möslein;2022;http://link.springer.com/article/10.1007/s10796-022-10252-x;Article;;;;;
;Extracting enhanced artificial intelligence model metadata from software repositories;Empirical Software Engineering;;27;7;10.1007/s10664-022-10206-6;Jason TsayAlan BrazMartin HirzelAvraham ShinnarTodd Mummert;2022;http://link.springer.com/article/10.1007/s10664-022-10206-6;Article;;;;;;
;Topic modeling in marketing: recent advances and research opportunities;Journal of Business Economics;;89;3;10.1007/s11573-018-0915-7;Martin ReisenbichlerThomas Reutterer;2019;http://link.springer.com/article/10.1007/s11573-018-0915-7;Article;;;;;;
;A model-driven software engineering workflow and tool architecture for servitised manufacturing;Information Systems and e-Business Management;;16;3;10.1007/s10257-018-0371-5;Emmanouil NtanosGerasimos DimitriouVassilis BekiarisCharalampos VassiliouKostas KalaboukasDimitris Askounis;2018;http://link.springer.com/article/10.1007/s10257-018-0371-5;Article;;;;;;
;Change detection in remote sensing images based on manifold regularized joint non-negative matrix factorization;Earth Science Informatics;;14;4;10.1007/s12145-021-00620-7;Weidong YanXinxin LiuJinhuan WenJinfeng HongSa ZhangRui Zhao;2021;http://link.springer.com/article/10.1007/s12145-021-00620-7;Article;;;;;;
;A two-staged NLP-based framework for assessing the sentiments on Indian supreme court judgments;International Journal of Information Technology;;15;4;10.1007/s41870-023-01273-z;Isha GuptaIndranath ChatterjeeNeha Gupta;2023;http://link.springer.com/article/10.1007/s41870-023-01273-z;Article;;;;;;
;Highlights from the Fourth International Society for Computational Biology Student Council Symposium at the Sixteenth Annual International Conference on Intelligent Systems for Molecular Biology;BMC Bioinformatics;;9;10;10.1186/1471-2105-9-S10-I1;Lucia PeixotoNils GehlenborgSarath Chandra Janga;2008;http://link.springer.com/article/10.1186/1471-2105-9-S10-I1;Article;;;;;;
;Requirements model driven adaption and evolution of Internetware;Science China Information Sciences;;57;6;10.1007/s11432-014-5064-1;Lin LiuChen YangJianMin WangXiaoJun YeYingBo LiuHongJi YangXiaoDong Liu;2014;http://link.springer.com/article/10.1007/s11432-014-5064-1;Article;;;;;;
